Year,Month,Internal Unit Sales Projections,Gross Sales ($),linear
2022,1,7500000.0,,186501503.96189773
2022,2,8700000.0,,214516181.04242563
2022,3,8800000.0,,216850737.46580294
2022,4,6900000.0,,172494165.42163378
2022,5,6100000.0,,153817714.0346152
2022,6,7700000.0,,191170616.80865237
2022,7,7900000.0,,195839729.65540704
2022,8,8100000.0,,200508842.50216168
2022,9,9200000.0,,226188963.15931225
2022,10,9100000.0,,223854406.7359349
2022,11,8000000.0,,198174286.07878435
2022,12,6700000.0,,167825052.57487914
