Year,Month,Internal Unit Sales Projections,Gross Sales ($),lag_1,lag_2,linear,random_forest,xgboost
2022,1,7500000.0,,5300000.0,8400000.0,188644338.3834626,183919500.0,1.8785811e+08
2022,2,8700000.0,,7500000.0,5300000.0,214066828.06418025,211317000.0,2.1052216e+08
2022,3,8800000.0,,8700000.0,7500000.0,220208031.7261428,223188000.0,2.241365e+08
2022,4,6900000.0,,8800000.0,8700000.0,176712816.86968043,181515000.0,1.8513061e+08
2022,5,6100000.0,,6900000.0,8800000.0,156756163.8863388,151435500.0,1.5050318e+08
2022,6,7700000.0,,6100000.0,6900000.0,191736131.5756462,195442500.0,1.9697461e+08
2022,7,7900000.0,,7700000.0,6100000.0,196255220.43054855,202526000.0,2.0577061e+08
2022,8,8100000.0,,7900000.0,7700000.0,203380560.2474379,209876000.0,2.1585653e+08
2022,9,9200000.0,,8100000.0,7900000.0,229964182.02549297,228658500.0,2.2983795e+08
2022,10,9100000.0,,9200000.0,8100000.0,228472055.35772312,229855000.0,2.3764096e+08
2022,11,8000000.0,,9100000.0,9200000.0,203774051.68253973,216627000.0,2.1578984e+08
2022,12,6700000.0,,8000000.0,9100000.0,172072218.10262257,171982000.0,1.78418e+08
